title,company,location,salary,skills,link,source
Telecaller,8 O'Clock,Noida,"₹ 2,70,000 - 3,50,000","MS-Excel, MS-Office, MS-PowerPoint",https://internshala.com/job/detail/fresher-telecaller-job-in-noida-at-8-oclock1746612449,Internshala
Admission Counsellor,Successcribe,Gurgaon,"₹ 2,70,000 - 3,50,000","Counseling, Effective Communication, Sales, Team Management,",https://internshala.com/job/detail/fresher-admission-counsellor-job-in-gurgaon-at-successcribe1746116223,Internshala
Customer Support Executive -L1,Eclat Engineering Pvt Ltd,Ahmedabad,"₹ 2,70,000 - 3,33,000","Customer Support, Effective Communication, Email Management, English Proficiency (Spoken), English Proficiency (Written),,",https://internshala.com/job/detail/fresher-customer-support-executive-l1-job-in-ahmedabad-at-eclat-engineering-pvt-ltd1746531727,Internshala
Business Development Executive,Techlightz Infosystems,Noida,"₹ 2,70,000 - 3,30,000","Email Management, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel,",https://internshala.com/job/detail/business-development-executive-job-in-noida-at-techlightz-infosystems1745410894,Internshala
Associate Software Tester,IESoft Technologies Private Limited,Work from home,"₹ 2,70,000 - 3,21,000","C Programming, Java, JavaScript, Jira, Manual Testing, REST API, Software Testing",https://internshala.com/job/detail/remote-associate-software-tester-job-at-iesoft-technologies-private-limited1746274622,Internshala
Junior Operations Executive,Freight Commerce Solutions Private Limited,Navi Mumbai,"₹ 2,70,000 - 3,10,000","Effective Communication, MS-Excel, MS-Office, MS-Word,,",https://internshala.com/job/detail/fresher-junior-operations-executive-job-in-navi-mumbai-at-freight-commerce-solutions-private-limited1745747538,Internshala
Digital Marketing Associate,INCUBERS,Jaipur,"₹ 2,70,000 - 3,00,000","English Proficiency (Spoken), English Proficiency (Written), Social Media Marketing,   ",https://internshala.com/job/detail/fresher-digital-marketing-associate-job-in-jaipur-at-incubers1745315469,Internshala
Corporate Sales Associate,FlippAR,Hyderabad,"₹ 2,70,000 - 3,00,000","Customer Acquisition, Lead Generation, Sales,   ",https://internshala.com/job/detail/corporate-sales-associate-job-in-hyderabad-at-flippar1746117972,Internshala
Business Development Executive,Webkorps Services India Pvt. LTD,Indore,"₹ 2,70,000 - 3,00,000","Effective Communication, English Proficiency (Written), Interpersonal skills, Sales Management,Cab/Transportation facility",https://internshala.com/job/detail/fresher-business-development-executive-job-in-indore-at-webkorps-services-india-pvt-ltd1745483442,Internshala
Support Associate,ColourDrive,Bangalore,"₹ 2,70,000","Client Relationship Management (CRM), Customer Support, Effective Communication, Email Management, Email Marketing, Interior design, MS-Office, Office Management",https://internshala.com/job/detail/support-associate-job-in-bangalore-at-colourdrive1744460172,Internshala
